MES_TK_ID,MES_TK_ALIAS
"573","TK0601"
"574","TK0602"
"575","TK0603"
"576","TK0604"
"577","TK0701"
"578","TK0702"
"579","TK0703"
"580","TK0704"
"581","TK0801"
"582","TK0802"
"583","TK0803"
"584","TK0804"
"585","TK0901"
"586","TK0902"
"587","TK0903"
"588","TK0904"
"589","TK1001"
"590","TK1002"
"591","TK1003"
"592","TK1004"
"593","0311TK1101"
"594","0311TK1102"
"595","0311TK1103"
"596","0311TK1104"
"597","0312TK1201"
"598","0312TK1202"
"599","0312TK1203"
"600","0312TK1204"
"601","0313TK1301"
"602","0313TK1302"
"603","0313TK1303"
"604","0313TK1304"
"606","1#_石油焦"
"607","3#_煤"
"608","2#_2_石油焦"
"609","2#_1_煤"
"610","硫磺仓库"
"611","高密仓库"
"612","全密仓库"
"613","聚丙烯仓库"
"614","WI5009"
"615","WI5309"
"616","WI1626_1"
"617","氢气管网"
"618","1#_煤"
"619","5011"
"620","5012"
"621","5013"
"622","5014"
"623","5015"
"624","5016"
"625","5017"
"626","5018"
